# @source="réseau Sentinelles, INSERM, Sorbonne Université, http://www.sentiweb.fr", @meta={"period":[199049,201842],"geo":["PAY","1"],"geo_ref":"insee","indicator":"7","type":"all","conf_int":true,"compact":false}, @date=2018-10-29T17:16:15+01:00
week,indicator,inc,inc_low,inc_up,inc100,inc100_low,inc100_up,geo_insee,geo_name
201842,7,4631,2475,6787,7,4,10,FR,France
201841,7,2956,1207,4705,4,1,7,FR,France
201840,7,3858,1827,5889,6,3,9,FR,France
201839,7,2584,870,4298,4,1,7,FR,France
201838,7,2401,761,4041,4,2,6,FR,France
201837,7,1891,501,3281,3,1,5,FR,France
201836,7,559,0,1335,1,0,2,FR,France
201835,7,872,0,1916,1,0,3,FR,France
201834,7,3736,1415,6057,6,2,10,FR,France
201833,7,3803,1130,6476,6,2,10,FR,France
201832,7,3225,1155,5295,5,2,8,FR,France
201831,7,6610,3565,9655,10,5,15,FR,France
201830,7,9338,5780,12896,14,9,19,FR,France
201829,7,8513,5059,11967,13,8,18,FR,France
201828,7,12115,7907,16323,18,12,24,FR,France
201827,7,13986,9745,18227,21,15,27,FR,France
201826,7,15317,11019,19615,23,16,30,FR,France
201825,7,11282,7840,14724,17,12,22,FR,France
201824,7,16554,12219,20889,25,18,32,FR,France
201823,7,9511,6385,12637,14,9,19,FR,France
201822,7,15972,11793,20151,24,18,30,FR,France
201821,7,10909,7627,14191,17,12,22,FR,France
201820,7,13417,9692,17142,20,14,26,FR,France
201819,7,16718,12351,21085,25,18,32,FR,France
201818,7,16120,11128,21112,25,17,33,FR,France
201817,7,16154,11960,20348,25,19,31,FR,France
201816,7,18341,13836,22846,28,21,35,FR,France
201815,7,17946,13622,22270,27,20,34,FR,France
201814,7,15036,10780,19292,23,17,29,FR,France
201813,7,16373,12472,20274,25,19,31,FR,France
201812,7,18819,14373,23265,29,22,36,FR,France
201811,7,15478,11427,19529,24,18,30,FR,France
201810,7,15753,11901,19605,24,18,30,FR,France
201809,7,13217,9653,16781,20,15,25,FR,France
201808,7,13390,9832,16948,20,15,25,FR,France
201807,7,13453,10096,16810,20,15,25,FR,France
201806,7,15491,11679,19303,24,18,30,FR,France
201805,7,15078,11374,18782,23,17,29,FR,France
201804,7,14562,10973,18151,22,17,27,FR,France
201803,7,7972,5473,10471,12,8,16,FR,France
201802,7,10976,7974,13978,17,12,22,FR,France
201801,7,11471,8430,14512,17,12,22,FR,France
201752,7,11120,7732,14508,17,12,22,FR,France
201751,7,8055,5279,10831,12,8,16,FR,France
201750,7,10095,7184,13006,15,11,19,FR,France
201749,7,11214,8103,14325,17,12,22,FR,France
201748,7,8686,5706,11666,13,8,18,FR,France
201747,7,8741,5969,11513,13,9,17,FR,France
201746,7,5708,3483,7933,9,6,12,FR,France
201745,7,4902,2777,7027,8,5,11,FR,France
201744,7,5645,3125,8165,9,5,13,FR,France
201743,7,6892,3966,9818,11,7,15,FR,France
201742,7,4490,2218,6762,7,4,10,FR,France
201741,7,2516,1110,3922,4,2,6,FR,France
201740,7,4902,2504,7300,8,4,12,FR,France
201739,7,2901,917,4885,4,1,7,FR,France
201738,7,2138,736,3540,3,1,5,FR,France
201737,7,2360,700,4020,4,1,7,FR,France
201736,7,1903,450,3356,3,1,5,FR,France
201735,7,3419,1409,5429,5,2,8,FR,France
201734,7,3886,1559,6213,6,2,10,FR,France
201733,7,3133,829,5437,5,1,9,FR,France
201732,7,4194,1599,6789,6,2,10,FR,France
201731,7,7130,3572,10688,11,6,16,FR,France
201730,7,7368,3708,11028,11,5,17,FR,France
201729,7,15320,10560,20080,24,17,31,FR,France
201728,7,14764,9589,19939,23,15,31,FR,France
201727,7,12000,7980,16020,18,12,24,FR,France
201726,7,11914,8364,15464,18,13,23,FR,France
201725,7,16264,12303,20225,25,19,31,FR,France
201724,7,16473,12221,20725,25,18,32,FR,France
201723,7,15607,11196,20018,24,17,31,FR,France
201722,7,19102,14187,24017,29,21,37,FR,France
201721,7,21160,15647,26673,32,24,40,FR,France
201720,7,19412,14439,24385,30,22,38,FR,France
201719,7,20724,15468,25980,32,24,40,FR,France
201718,7,14497,10154,18840,22,15,29,FR,France
201717,7,17548,12284,22812,27,19,35,FR,France
201716,7,14963,10491,19435,23,16,30,FR,France
201715,7,16400,11762,21038,25,18,32,FR,France
201714,7,18892,13332,24452,29,20,38,FR,France
201713,7,21702,16488,26916,33,25,41,FR,France
201712,7,18534,14161,22907,28,21,35,FR,France
201711,7,18361,12709,24013,28,19,37,FR,France
201710,7,10218,6896,13540,16,11,21,FR,France
201709,7,12248,8571,15925,19,13,25,FR,France
201708,7,14721,10712,18730,23,17,29,FR,France
201707,7,10991,7538,14444,17,12,22,FR,France
201706,7,9627,6502,12752,15,10,20,FR,France
201705,7,8885,6064,11706,14,10,18,FR,France
201704,7,9227,6249,12205,14,9,19,FR,France
201703,7,8791,6072,11510,13,9,17,FR,France
201702,7,9034,6097,11971,14,9,19,FR,France
201701,7,7803,5142,10464,12,8,16,FR,France
201652,7,7665,4768,10562,12,8,16,FR,France
201651,7,9916,5966,13866,15,9,21,FR,France
201650,7,8866,5849,11883,14,9,19,FR,France
201649,7,7919,5039,10799,12,8,16,FR,France
201648,7,6906,4242,9570,11,7,15,FR,France
201647,7,6877,4083,9671,11,7,15,FR,France
201646,7,4683,2458,6908,7,4,10,FR,France
201645,7,3807,1499,6115,6,2,10,FR,France
201644,7,4879,2029,7729,7,3,11,FR,France
201643,7,9264,4949,13579,14,7,21,FR,France
201642,7,7301,3877,10725,11,6,16,FR,France
201641,7,5849,2950,8748,9,5,13,FR,France
201640,7,5023,2267,7779,8,4,12,FR,France
201639,7,2437,595,4279,4,1,7,FR,France
201638,7,2550,0,5121,4,0,8,FR,France
201637,7,3031,501,5561,5,1,9,FR,France
201636,7,1621,33,3209,2,0,4,FR,France
201635,7,1554,38,3070,2,0,4,FR,France
201634,7,3089,711,5467,5,1,9,FR,France
201633,7,3373,671,6075,5,1,9,FR,France
201632,7,4670,936,8404,7,1,13,FR,France
201631,7,13619,5986,21252,21,9,33,FR,France
201630,7,14149,8423,19875,22,13,31,FR,France
201629,7,15769,9829,21709,24,15,33,FR,France
201628,7,19968,12709,27227,31,20,42,FR,France
201627,7,23790,16940,30640,37,26,48,FR,France
201626,7,26083,19873,32293,40,30,50,FR,France
201625,7,19250,13742,24758,30,22,38,FR,France
201624,7,16465,11779,21151,25,18,32,FR,France
201623,7,21642,16030,27254,33,24,42,FR,France
201622,7,21913,16307,27519,34,25,43,FR,France
201621,7,22707,16878,28536,35,26,44,FR,France
201620,7,20389,14741,26037,31,22,40,FR,France
201619,7,19685,14453,24917,30,22,38,FR,France
201618,7,19785,14138,25432,30,21,39,FR,France
201617,7,20489,14781,26197,31,22,40,FR,France
201616,7,23848,18353,29343,37,29,45,FR,France
201615,7,30982,24510,37454,48,38,58,FR,France
201614,7,30996,24507,37485,48,38,58,FR,France
201613,7,20260,15476,25044,31,24,38,FR,France
201612,7,19129,14501,23757,29,22,36,FR,France
201611,7,16660,12252,21068,26,19,33,FR,France
201610,7,16812,12677,20947,26,20,32,FR,France
201609,7,18118,13735,22501,28,21,35,FR,France
201608,7,17557,13397,21717,27,21,33,FR,France
201607,7,22222,17422,27022,34,27,41,FR,France
201606,7,24486,19563,29409,38,30,46,FR,France
201605,7,20906,16470,25342,32,25,39,FR,France
201604,7,17717,13394,22040,27,20,34,FR,France
201603,7,17146,13088,21204,26,20,32,FR,France
201602,7,9960,6845,13075,15,10,20,FR,France
201601,7,16221,12114,20328,25,19,31,FR,France
201553,7,14386,10110,18662,22,15,29,FR,France
201552,7,12550,8407,16693,19,13,25,FR,France
201551,7,16168,11913,20423,25,18,32,FR,France
201550,7,14600,10277,18923,23,16,30,FR,France
201549,7,10580,7148,14012,16,11,21,FR,France
201548,7,6694,3816,9572,10,6,14,FR,France
201547,7,7224,4543,9905,11,7,15,FR,France
201546,7,6377,3768,8986,10,6,14,FR,France
201545,7,7838,4650,11026,12,7,17,FR,France
201544,7,10638,7012,14264,16,10,22,FR,France
201543,7,8228,4766,11690,13,8,18,FR,France
201542,7,6730,3669,9791,10,5,15,FR,France
201541,7,8455,5347,11563,13,8,18,FR,France
201540,7,6242,3556,8928,10,6,14,FR,France
201539,7,5142,2663,7621,8,4,12,FR,France
201538,7,4845,2170,7520,8,4,12,FR,France
201537,7,1710,315,3105,3,1,5,FR,France
201536,7,3852,1413,6291,6,2,10,FR,France
201535,7,3158,1104,5212,5,2,8,FR,France
201534,7,6626,2734,10518,10,4,16,FR,France
201533,7,3005,815,5195,5,2,8,FR,France
201532,7,4592,1514,7670,7,2,12,FR,France
201531,7,5901,2320,9482,9,3,15,FR,France
201530,7,11437,6572,16302,18,10,26,FR,France
201529,7,16251,10104,22398,25,15,35,FR,France
201528,7,19181,12819,25543,30,20,40,FR,France
201527,7,20526,14918,26134,32,23,41,FR,France
201526,7,20491,15043,25939,32,24,40,FR,France
201525,7,18253,13349,23157,28,20,36,FR,France
201524,7,20522,15347,25697,32,24,40,FR,France
201523,7,22298,16988,27608,35,27,43,FR,France
201522,7,16681,11603,21759,26,18,34,FR,France
201521,7,19208,13976,24440,30,22,38,FR,France
201520,7,15791,10998,20584,24,17,31,FR,France
201519,7,17661,12845,22477,27,20,34,FR,France
201518,7,18126,13142,23110,28,20,36,FR,France
201517,7,22059,16386,27732,34,25,43,FR,France
201516,7,22837,17103,28571,35,26,44,FR,France
201515,7,20116,14743,25489,31,23,39,FR,France
201514,7,19969,14683,25255,31,23,39,FR,France
201513,7,14076,10028,18124,22,16,28,FR,France
201512,7,13120,9230,17010,20,14,26,FR,France
201511,7,12073,8302,15844,19,13,25,FR,France
201510,7,11340,7811,14869,18,13,23,FR,France
201509,7,9509,6202,12816,15,10,20,FR,France
201508,7,10045,6921,13169,16,11,21,FR,France
201507,7,13810,9930,17690,21,15,27,FR,France
201506,7,14586,10675,18497,23,17,29,FR,France
201505,7,8379,5519,11239,13,9,17,FR,France
201504,7,12373,8955,15791,19,14,24,FR,France
201503,7,8408,5545,11271,13,9,17,FR,France
201502,7,9656,6569,12743,15,10,20,FR,France
201501,7,15419,10638,20200,24,17,31,FR,France
201452,7,12109,7254,16964,19,11,27,FR,France
201451,7,13237,9282,17192,21,15,27,FR,France
201450,7,12272,8434,16110,19,13,25,FR,France
201449,7,6652,4023,9281,10,6,14,FR,France
201448,7,3785,1414,6156,6,2,10,FR,France
201447,7,4213,2058,6368,7,4,10,FR,France
201446,7,2638,808,4468,4,1,7,FR,France
201445,7,5138,2609,7667,8,4,12,FR,France
201444,7,7639,4394,10884,12,7,17,FR,France
201443,7,9721,6051,13391,15,9,21,FR,France
201442,7,7702,4827,10577,12,8,16,FR,France
201441,7,7853,4576,11130,12,7,17,FR,France
201440,7,5643,2875,8411,9,5,13,FR,France
201439,7,3067,959,5175,5,2,8,FR,France
201438,7,1431,130,2732,2,0,4,FR,France
201437,7,1034,0,2338,2,0,4,FR,France
201436,7,2765,707,4823,4,1,7,FR,France
201435,7,3052,734,5370,5,1,9,FR,France
201434,7,6443,1010,11876,10,2,18,FR,France
201433,7,5893,1698,10088,9,2,16,FR,France
201432,7,5574,1636,9512,9,3,15,FR,France
201431,7,11224,5825,16623,17,9,25,FR,France
201430,7,13856,7742,19970,22,12,32,FR,France
201429,7,13818,8249,19387,22,13,31,FR,France
201428,7,14452,8576,20328,23,14,32,FR,France
201427,7,10934,6552,15316,17,10,24,FR,France
201426,7,13972,9090,18854,22,14,30,FR,France
201425,7,15684,10131,21237,24,15,33,FR,France
201424,7,21981,15632,28330,34,24,44,FR,France
201423,7,24015,16956,31074,37,26,48,FR,France
201422,7,19748,13406,26090,31,21,41,FR,France
201421,7,18296,12087,24505,28,18,38,FR,France
201420,7,17693,11979,23407,28,19,37,FR,France
201419,7,18515,12667,24363,29,20,38,FR,France
201418,7,22172,15443,28901,35,25,45,FR,France
201417,7,22727,16224,29230,35,25,45,FR,France
201416,7,17010,11590,22430,26,18,34,FR,France
201415,7,20239,14242,26236,32,23,41,FR,France
201414,7,17565,12341,22789,27,19,35,FR,France
201413,7,17723,12128,23318,28,19,37,FR,France
201412,7,14097,9068,19126,22,14,30,FR,France
201411,7,15073,10122,20024,23,15,31,FR,France
201410,7,16941,11407,22475,26,17,35,FR,France
201409,7,15621,10397,20845,24,16,32,FR,France
201408,7,19870,14111,25629,31,22,40,FR,France
201407,7,15327,10359,20295,24,16,32,FR,France
201406,7,16534,11424,21644,26,18,34,FR,France
201405,7,12071,7897,16245,19,12,26,FR,France
201404,7,15767,10826,20708,25,17,33,FR,France
201403,7,12852,8190,17514,20,13,27,FR,France
201402,7,12465,7896,17034,19,12,26,FR,France
201401,7,22504,15572,29436,35,24,46,FR,France
201352,7,13843,8314,19372,22,13,31,FR,France
201351,7,12787,7843,17731,20,12,28,FR,France
201350,7,11421,7184,15658,18,11,25,FR,France
201349,7,10146,6171,14121,16,10,22,FR,France
201348,7,6708,3361,10055,11,6,16,FR,France
201347,7,9940,5667,14213,16,9,23,FR,France
201346,7,5110,2148,8072,8,3,13,FR,France
201345,7,7669,3726,11612,12,6,18,FR,France
201344,7,10655,5983,15327,17,10,24,FR,France
201343,7,8192,3927,12457,13,6,20,FR,France
201342,7,12324,7315,17333,19,11,27,FR,France
201341,7,9487,5101,13873,15,8,22,FR,France
201340,7,4114,1452,6776,6,2,10,FR,France
201339,7,5037,1810,8264,8,3,13,FR,France
201338,7,4449,1499,7399,7,2,12,FR,France
201337,7,5212,1954,8470,8,3,13,FR,France
201336,7,3481,606,6356,5,0,10,FR,France
201335,7,3486,281,6691,5,0,10,FR,France
201334,7,3994,670,7318,6,1,11,FR,France
201333,7,3758,372,7144,6,1,11,FR,France
201332,7,2986,635,5337,5,1,9,FR,France
201331,7,9137,3957,14317,14,6,22,FR,France
201330,7,13810,6870,20750,22,11,33,FR,France
201329,7,12278,6878,17678,19,11,27,FR,France
201328,7,17146,10622,23670,27,17,37,FR,France
201327,7,13859,8697,19021,22,14,30,FR,France
201326,7,17956,11585,24327,28,18,38,FR,France
201325,7,24609,17743,31475,39,28,50,FR,France
201324,7,23981,17469,30493,38,28,48,FR,France
201323,7,15848,10235,21461,25,16,34,FR,France
201322,7,12528,7759,17297,20,13,27,FR,France
201321,7,10637,6458,14816,17,10,24,FR,France
201320,7,12435,7726,17144,19,12,26,FR,France
201319,7,14230,8491,19969,22,13,31,FR,France
201318,7,17735,11898,23572,28,19,37,FR,France
201317,7,25213,18328,32098,39,28,50,FR,France
201316,7,23918,16084,31752,37,25,49,FR,France
201315,7,15307,10483,20131,24,16,32,FR,France
201314,7,19302,13484,25120,30,21,39,FR,France
201313,7,18224,11953,24495,29,19,39,FR,France
201312,7,17413,11819,23007,27,18,36,FR,France
201311,7,16229,10756,21702,25,16,34,FR,France
201310,7,16515,10966,22064,26,17,35,FR,France
201309,7,16338,11305,21371,26,18,34,FR,France
201308,7,17915,12458,23372,28,19,37,FR,France
201307,7,12245,7795,16695,19,12,26,FR,France
201306,7,13305,8249,18361,21,13,29,FR,France
201305,7,11184,6677,15691,18,11,25,FR,France
201304,7,16505,11326,21684,26,18,34,FR,France
201303,7,10434,6735,14133,16,10,22,FR,France
201302,7,14746,9924,19568,23,15,31,FR,France
201301,7,22537,16290,28784,35,25,45,FR,France
201252,7,14682,9011,20353,23,14,32,FR,France
201251,7,15811,10483,21139,25,17,33,FR,France
201250,7,19840,13797,25883,31,21,41,FR,France
201249,7,11967,7591,16343,19,12,26,FR,France
201248,7,12897,8376,17418,20,13,27,FR,France
201247,7,11934,7042,16826,19,11,27,FR,France
201246,7,10741,6201,15281,17,10,24,FR,France
201245,7,20339,12476,28202,32,20,44,FR,France
201244,7,8472,4834,12110,13,7,19,FR,France
201243,7,11375,7120,15630,18,11,25,FR,France
201242,7,11450,6987,15913,18,11,25,FR,France
201241,7,8700,4885,12515,14,8,20,FR,France
201240,7,9175,5327,13023,14,8,20,FR,France
201239,7,4058,1438,6678,6,2,10,FR,France
201238,7,2684,621,4747,4,1,7,FR,France
201237,7,2505,0,5339,4,0,8,FR,France
201236,7,3930,291,7569,6,0,12,FR,France
201235,7,3515,884,6146,6,2,10,FR,France
201234,7,5663,2195,9131,9,4,14,FR,France
201233,7,7969,3171,12767,13,5,21,FR,France
201232,7,9206,2073,16339,14,3,25,FR,France
201231,7,7579,3540,11618,12,6,18,FR,France
201230,7,11253,5812,16694,18,9,27,FR,France
201229,7,20711,13977,27445,33,22,44,FR,France
201228,7,16966,9789,24143,27,16,38,FR,France
201227,7,17733,11174,24292,28,18,38,FR,France
201226,7,20974,13153,28795,33,21,45,FR,France
201225,7,25480,17130,33830,40,27,53,FR,France
201224,7,17872,11690,24054,28,18,38,FR,France
201223,7,22034,15327,28741,35,24,46,FR,France
201222,7,18774,11901,25647,30,19,41,FR,France
201221,7,18515,9501,27529,29,15,43,FR,France
201220,7,17026,9608,24444,27,15,39,FR,France
201219,7,13599,8726,18472,21,13,29,FR,France
201218,7,16482,10836,22128,26,17,35,FR,France
201217,7,18041,12040,24042,28,19,37,FR,France
201216,7,16251,10239,22263,26,17,35,FR,France
201215,7,10203,5281,15125,16,8,24,FR,France
201214,7,7426,3526,11326,12,6,18,FR,France
201213,7,12507,5913,19101,20,10,30,FR,France
201212,7,12006,6344,17668,19,10,28,FR,France
201211,7,11997,7398,16596,19,12,26,FR,France
201210,7,15569,9700,21438,25,16,34,FR,France
201209,7,18085,12427,23743,28,19,37,FR,France
201208,7,13515,8822,18208,21,14,28,FR,France
201207,7,12594,7774,17414,20,12,28,FR,France
201206,7,15273,9953,20593,24,16,32,FR,France
201205,7,12192,7305,17079,19,11,27,FR,France
201204,7,10248,4996,15500,16,8,24,FR,France
201203,7,11474,6843,16105,18,11,25,FR,France
201202,7,13651,8191,19111,21,12,30,FR,France
201201,7,14028,9063,18993,22,14,30,FR,France
201152,7,21306,14321,28291,34,23,45,FR,France
201151,7,14945,8910,20980,24,14,34,FR,France
201150,7,10051,5417,14685,16,9,23,FR,France
201149,7,10075,5049,15101,16,8,24,FR,France
201148,7,9018,5083,12953,14,8,20,FR,France
201147,7,10055,4853,15257,16,8,24,FR,France
201146,7,7721,3993,11449,12,6,18,FR,France
201145,7,5764,1962,9566,9,3,15,FR,France
201144,7,6178,2704,9652,10,5,15,FR,France
201143,7,6168,2653,9683,10,4,16,FR,France
201142,7,6713,3036,10390,11,5,17,FR,France
201141,7,4184,1543,6825,7,3,11,FR,France
201140,7,3114,618,5610,5,1,9,FR,France
201139,7,2504,414,4594,4,1,7,FR,France
201138,7,3386,585,6187,5,1,9,FR,France
201137,7,1183,9,2357,2,0,4,FR,France
201136,7,3367,478,6256,5,0,10,FR,France
201135,7,5945,2380,9510,9,3,15,FR,France
201134,7,3180,891,5469,5,1,9,FR,France
201133,7,4960,1053,8867,8,2,14,FR,France
201132,7,7230,1500,12960,11,2,20,FR,France
201131,7,10789,4593,16985,17,7,27,FR,France
201130,7,23137,9828,36446,37,16,58,FR,France
201129,7,10056,4896,15216,16,8,24,FR,France
201128,7,13428,7761,19095,21,12,30,FR,France
201127,7,20770,13604,27936,33,22,44,FR,France
201126,7,16862,10623,23101,27,17,37,FR,France
201125,7,19411,12763,26059,31,20,42,FR,France
201124,7,18584,12337,24831,29,19,39,FR,France
201123,7,20707,14800,26614,33,24,42,FR,France
201122,7,16995,11552,22438,27,18,36,FR,France
201121,7,19179,12997,25361,30,20,40,FR,France
201120,7,21512,15082,27942,34,24,44,FR,France
201119,7,18038,12286,23790,29,20,38,FR,France
201118,7,18512,13142,23882,29,21,37,FR,France
201117,7,20715,14602,26828,33,23,43,FR,France
201116,7,18128,12859,23397,29,21,37,FR,France
201115,7,22169,16454,27884,35,26,44,FR,France
201114,7,17431,12573,22289,28,20,36,FR,France
201113,7,15637,10796,20478,25,17,33,FR,France
201112,7,14856,9810,19902,24,16,32,FR,France
201111,7,12156,7712,16600,19,12,26,FR,France
201110,7,12987,8644,17330,21,14,28,FR,France
201109,7,11971,7656,16286,19,12,26,FR,France
201108,7,17295,11843,22747,27,18,36,FR,France
201107,7,12488,7431,17545,20,12,28,FR,France
201106,7,9801,6179,13423,16,10,22,FR,France
201105,7,10857,7046,14668,17,11,23,FR,France
201104,7,13749,9496,18002,22,15,29,FR,France
201103,7,12936,8875,16997,20,14,26,FR,France
201102,7,9451,6208,12694,15,10,20,FR,France
201101,7,14380,10066,18694,23,16,30,FR,France
201052,7,13112,8997,17227,21,14,28,FR,France
201051,7,12055,8046,16064,19,13,25,FR,France
201050,7,8281,5242,11320,13,8,18,FR,France
201049,7,12525,8601,16449,20,14,26,FR,France
201048,7,9048,5627,12469,14,9,19,FR,France
201047,7,7329,4256,10402,12,7,17,FR,France
201046,7,8955,5377,12533,14,8,20,FR,France
201045,7,4800,2269,7331,8,4,12,FR,France
201044,7,11274,7155,15393,18,11,25,FR,France
201043,7,8144,4621,11667,13,7,19,FR,France
201042,7,9178,5507,12849,15,9,21,FR,France
201041,7,7110,3983,10237,11,6,16,FR,France
201040,7,5196,2450,7942,8,4,12,FR,France
201039,7,3415,964,5866,5,1,9,FR,France
201038,7,3057,681,5433,5,1,9,FR,France
201037,7,1056,0,2338,2,0,4,FR,France
201036,7,1629,241,3017,3,1,5,FR,France
201035,7,5847,1895,9799,9,3,15,FR,France
201034,7,4649,1665,7633,7,2,12,FR,France
201033,7,3972,1372,6572,6,2,10,FR,France
201032,7,4307,1345,7269,7,2,12,FR,France
201031,7,7403,3912,10894,12,6,18,FR,France
201030,7,8502,4404,12600,14,7,21,FR,France
201029,7,14481,8874,20088,23,14,32,FR,France
201028,7,28483,18947,38019,45,30,60,FR,France
201027,7,25965,18206,33724,41,29,53,FR,France
201026,7,22628,16253,29003,36,26,46,FR,France
201025,7,21027,15245,26809,33,24,42,FR,France
201024,7,26164,19503,32825,42,31,53,FR,France
201023,7,19858,14032,25684,32,23,41,FR,France
201022,7,22275,16460,28090,35,26,44,FR,France
201021,7,24815,18263,31367,40,30,50,FR,France
201020,7,22370,16020,28720,36,26,46,FR,France
201019,7,25552,18564,32540,41,30,52,FR,France
201018,7,18894,13264,24524,30,21,39,FR,France
201017,7,17512,12221,22803,28,20,36,FR,France
201016,7,21439,15519,27359,34,25,43,FR,France
201015,7,26362,19735,32989,42,31,53,FR,France
201014,7,20168,14274,26062,32,23,41,FR,France
201013,7,18917,13394,24440,30,21,39,FR,France
201012,7,18171,12995,23347,29,21,37,FR,France
201011,7,13401,9041,17761,21,14,28,FR,France
201010,7,18123,12614,23632,29,20,38,FR,France
201009,7,21145,14746,27544,34,24,44,FR,France
201008,7,30549,21013,40085,49,34,64,FR,France
201007,7,25017,17142,32892,40,27,53,FR,France
201006,7,22358,13688,31028,36,22,50,FR,France
201005,7,26817,18132,35502,43,29,57,FR,France
201004,7,14384,8912,19856,23,14,32,FR,France
201003,7,11821,7294,16348,19,12,26,FR,France
201002,7,12756,7177,18335,20,11,29,FR,France
201001,7,14182,9107,19257,23,15,31,FR,France
200953,7,28213,17662,38764,45,28,62,FR,France
200952,7,15203,9597,20809,24,15,33,FR,France
200951,7,17611,11223,23999,28,18,38,FR,France
200950,7,17430,9879,24981,28,16,40,FR,France
200949,7,7199,3960,10438,11,6,16,FR,France
200948,7,14656,9570,19742,23,15,31,FR,France
200947,7,7051,3901,10201,11,6,16,FR,France
200946,7,4662,2107,7217,7,3,11,FR,France
200945,7,15603,9790,21416,25,16,34,FR,France
200944,7,13165,6629,19701,21,11,31,FR,France
200943,7,9872,5298,14446,16,9,23,FR,France
200942,7,13992,7999,19985,22,12,32,FR,France
200941,7,7811,4267,11355,12,6,18,FR,France
200940,7,12414,7441,17387,20,12,28,FR,France
200939,7,4090,921,7259,7,2,12,FR,France
200938,7,2802,999,4605,4,1,7,FR,France
200937,7,1989,362,3616,3,0,6,FR,France
200936,7,1681,212,3150,3,1,5,FR,France
200935,7,3605,1131,6079,6,2,10,FR,France
200934,7,8863,3112,14614,14,5,23,FR,France
200933,7,6592,965,12219,10,1,19,FR,France
200932,7,9370,4069,14671,15,7,23,FR,France
