ISO_A3,Country,AUC,date_SI_sup0,date_SI_sup50,date_SI_max,SI_max
ABW,Aruba,2797.7999999999997,2020-03-15,2020-03-29,2020-04-18,86.24
AFG,Afghanistan,2852.445,2020-03-01,2020-03-26,2020-04-12,76.33
AGO,Angola,2792.6549999999997,2020-02-06,2020-03-27,2020-04-18,93.38
AIA,Anguilla,NA,NA,NA,NA,NA
ALB,Albania,3920.75,2020-02-25,2020-03-11,2020-04-18,88.36
AND,Andorra,2192.14,2020-03-13,2020-03-25,2020-04-08,61.77
ARE,United Arab Emirates,3740.9900000000002,2020-01-23,2020-03-23,2020-04-04,91.54
ARG,Argentina,4463.48,2020-01-23,2020-03-19,2020-03-23,100
ARM,Armenia,NA,NA,NA,NA,NA
ATG,Antigua and Barbuda,NA,NA,NA,NA,NA
AUS,Australia,3473.01,2020-01-25,2020-03-22,2020-03-29,71.3
AUT,Austria,3775.9100000000003,2020-02-24,2020-03-13,2020-03-16,84.79
AZE,Azerbaijan,3894.465,2020-01-30,2020-03-14,2020-04-16,92.86
BDI,Burundi,1320.7,2020-02-01,NA,2020-03-22,19.44
BEL,Belgium,3975.41,2020-01-28,2020-03-14,2020-03-20,83.6
BEN,Benin,NA,NA,NA,NA,NA
BFA,Burkina Faso,3382.185,2020-03-12,2020-03-21,2020-03-23,88.23
BGD,Bangladesh,4240.32,2020-01-22,2020-03-19,2020-04-11,94.58
BGR,Bulgaria,3633.65,2020-02-03,2020-03-13,2020-04-01,75.52
BHR,Bahrain,3891.955,2020-01-23,2020-03-18,2020-04-04,86.77
BHS,"Bahamas, The",NA,NA,NA,NA,NA
BIH,Bosnia and Herzegovina,4166.44,2020-01-31,2020-03-17,2020-04-24,91.4
BLM,Saint Barthelemy,NA,NA,NA,NA,NA
BLR,Belarus,NA,NA,NA,NA,NA
BLZ,Belize,2703.3,2020-02-18,2020-03-20,2020-04-01,64.68
BMU,Bermuda,5159.875,2020-01-22,2020-03-02,2020-04-04,94.71
BOL,Bolivia,3794.975,2020-03-12,2020-03-16,2020-04-14,97.35
BRA,Brazil,3035.71,2020-03-02,2020-03-17,2020-03-27,70.52
BRB,Barbados,3711.395,2020-01-22,2020-03-19,2020-04-08,90.47
BRN,Brunei Darussalam,3705.8050000000003,2020-01-06,2020-03-13,2020-04-18,82.93
BTN,Bhutan,NA,NA,NA,NA,NA
BWA,Botswana,3736.52,2020-01-01,2020-04-02,2020-04-02,87.04
CAF,Central African Republic,NA,NA,NA,NA,NA
CAN,Canada,3284.2000000000003,2020-01-22,2020-03-18,2020-04-07,79.9
CHE,Switzerland,3725.535,2020-02-25,2020-03-17,2020-03-17,79.49
CHI,Channel Islands,NA,NA,NA,NA,NA
CHL,Chile,2317.285,2020-03-14,2020-03-22,2020-04-18,75.79
CHN,China,5322.125,2020-01-20,2020-01-26,2020-01-26,66.42
CIV,Cote d'Ivoire,NA,NA,NA,NA,NA
CMR,Cameroon,2321.44,2020-03-13,2020-03-18,2020-04-04,65.08
COD,"Congo, Dem. Rep.",2946.92,2020-02-20,2020-03-20,2020-04-18,82.02
COG,"Congo, Rep.",NA,NA,NA,NA,NA
COL,Colombia,3778.82,2020-01-21,2020-03-17,2020-04-25,90.74
CPV,Cabo Verde,NA,2020-03-20,2020-03-28,2020-04-01,79.63
CRI,Costa Rica,3618.345,2020-02-03,2020-03-16,2020-04-08,77.78
CUB,Cuba,2853.185,2020-01-28,2020-03-25,2020-04-17,83.07
CUW,Curacao,NA,NA,NA,NA,NA
CYM,Cayman Islands,NA,NA,NA,NA,NA
CYP,Cyprus,3751.8599999999997,2020-03-05,2020-03-16,2020-03-24,94.71
CZE,Czechia,3329.145,2020-03-06,2020-03-14,2020-03-23,80.29
DEU,Germany,3809.965,2020-01-24,2020-03-18,2020-04-06,78.97
DJI,Djibouti,3378.5,2020-03-18,2020-03-23,2020-04-25,100
DMA,Dominica,2191.2549999999997,2020-03-22,2020-04-01,2020-04-04,88.89
DNK,Denmark,4020.535,2020-02-27,2020-03-11,2020-03-18,84.12
DOM,Dominican Republic,3508.525,2020-03-02,2020-03-19,2020-04-18,95.37
DZA,Algeria,3228.79,2020-03-05,2020-03-23,2020-04-14,84.54
ECU,Ecuador,4497.645,2020-01-26,2020-03-15,2020-03-17,95.37
EGY,"Egypt, Arab Rep.",3209.655,2020-03-16,2020-03-19,2020-03-24,88.75
ERI,Eritrea,NA,NA,NA,NA,NA
ESH,Western Sahara,NA,NA,NA,NA,NA
ESP,Spain,4233.175,2020-01-31,2020-03-14,2020-03-30,89.41
EST,Estonia,3220.255,2020-03-12,2020-03-16,2020-03-29,80.29
ETH,Ethiopia,2508.79,2020-03-16,2020-03-29,2020-04-08,78.84
FIN,Finland,3870.805,2020-01-27,2020-03-16,2020-03-28,75.13
FJI,Fiji,NA,NA,NA,NA,NA
FLK,Falkland Islands,NA,NA,NA,NA,NA
FRA,France,4550.585,2020-01-23,2020-03-16,2020-03-17,89.41
FRO,Faroe Islands,NA,NA,NA,NA,NA
GAB,Gabon,3514.9900000000002,2020-01-22,2020-03-20,2020-04-10,80.42
GBR,United Kingdom,3391.435,2020-02-02,2020-03-23,2020-03-26,82.27
GEO,Georgia,NA,NA,NA,NA,NA
GHA,Ghana,2812.71,2020-01-24,2020-03-30,2020-04-18,84.67
GIB,Gibraltar,NA,NA,NA,NA,NA
GIN,Guinea,NA,NA,NA,NA,NA
GLP,Guadeloupe,NA,NA,NA,NA,NA
GMB,"Gambia, The",3396.18,2020-02-07,2020-03-18,2020-04-03,84.78
GNB,Guinea-Bissau,NA,NA,NA,NA,NA
GNQ,Equatorial Guinea,NA,NA,NA,NA,NA
GRC,Greece,3961.5899999999997,2020-02-25,2020-03-14,2020-03-23,87.96
GRD,Grenada,NA,NA,NA,NA,NA
GRL,Greenland,2783.42,2020-03-01,2020-03-18,2020-04-18,86.9
GTM,Guatemala,4516.795,2020-01-21,2020-03-15,2020-04-18,97.35
GUF,French Guiana,NA,NA,NA,NA,NA
GUY,Guyana,3118.2599999999998,2020-01-28,2020-03-28,2020-04-09,93.38
HND,Honduras,3430.605,2020-03-02,2020-03-16,2020-04-18,100
HRV,Croatia,4389.875,2020-01-27,2020-03-20,2020-03-23,97.35
HTI,Haiti,NA,NA,NA,NA,NA
HUN,Hungary,3461.69,2020-02-28,2020-03-11,2020-03-28,78.44
IDN,Indonesia,3718.61,2020-01-15,2020-03-16,2020-04-24,73.56
IMN,Isle of Man,NA,NA,NA,NA,NA
IND,India,4282.285,2020-01-26,2020-03-18,2020-03-22,100
IRL,Ireland,3665.375,2020-02-04,2020-03-15,2020-04-06,87.83
IRN,"Iran, Islamic Rep.",2988.465,2020-02-20,2020-03-22,2020-04-05,65.34
IRQ,Iraq,4770.535,2020-02-21,2020-02-27,2020-03-26,91.4
ISL,Iceland,3044.385,2020-01-23,2020-03-16,2020-04-18,56.61
ISR,Israel,4652.445,2020-01-27,2020-03-15,2020-04-08,96.03
ITA,Italy,5851.27,2020-01-23,2020-02-23,2020-04-12,94.58
JAM,Jamaica,4080.75,2020-01-31,2020-03-13,2020-04-01,80.42
JOR,Jordan,3823.435,2020-03-03,2020-03-18,2020-04-24,100
JPN,Japan,3347.25,2020-01-07,2020-04-03,2020-04-03,51.18
KAZ,Kazakhstan,3217.5,2020-03-12,2020-03-18,2020-03-30,84.14
KEN,Kenya,3797.35,2020-01-20,2020-03-15,2020-04-15,91.54
KGZ,Kyrgyz Republic,3280.495,2020-03-01,2020-03-24,2020-03-25,87.31
KHM,Cambodia,NA,NA,NA,NA,NA
KNA,St. Kitts and Nevis,NA,NA,NA,NA,NA
KOR,"Korea, Rep.",4965.43,2020-01-31,2020-02-23,2020-04-06,83.46
KWT,Kuwait,4460.355,2020-01-23,2020-03-11,2020-04-06,90.49
LAO,Lao PDR,3059.605,2020-03-11,2020-03-30,2020-03-30,97.35
LBN,Lebanon,4216.635,2020-02-13,2020-03-16,2020-03-18,89.41
LBR,Liberia,NA,NA,NA,NA,NA
LBY,Libya,3645.73,2020-03-14,2020-03-16,2020-04-17,100
LCA,St. Lucia,NA,NA,NA,NA,NA
LIE,Liechtenstein,NA,NA,NA,NA,NA
LKA,Sri Lanka,4348.625,2020-01-26,2020-03-14,2020-03-28,100
LTU,Lithuania,NA,NA,NA,NA,NA
LUX,Luxembourg,3596.06,2020-03-05,2020-03-15,2020-03-17,82.27
LVA,Latvia,NA,NA,NA,NA,NA
MAF,St. Martin (French part),NA,NA,NA,NA,NA
MAR,Morocco,3689.7599999999998,2020-03-04,2020-03-20,2020-03-25,93.38
MCO,Monaco,NA,NA,NA,NA,NA
MDA,Moldova,3834.08,2020-02-24,2020-03-11,2020-03-24,90.74
MDG,Madagascar,3258.17,2020-03-15,2020-03-21,2020-04-05,94.84
MDV,Maldives,NA,NA,NA,NA,NA
MEX,Mexico,2675.65,2020-02-28,2020-03-26,2020-04-18,86.64
MKD,North Macedonia,NA,NA,NA,NA,NA
MLI,Mali,2727.355,2020-03-19,2020-03-25,2020-03-26,78.83
MLT,Malta,NA,NA,NA,NA,NA
MMR,Myanmar,3425.225,2020-01-06,2020-03-26,2020-04-17,81.89
MNE,Montenegro,NA,NA,NA,NA,NA
MNG,Mongolia,5226.2750000000005,2020-01-01,2020-01-27,2020-02-21,66.01
MOZ,Mozambique,1752.965,2020-03-19,2020-04-01,2020-04-01,53.83
MRT,Mauritania,3194.795,2020-02-05,2020-03-19,2020-03-29,80.95
MSR,Montserrat,NA,NA,NA,NA,NA
MTQ,Martinique,NA,NA,NA,NA,NA
MUS,Mauritius,2950.78,2020-03-18,2020-03-20,2020-04-18,91.4
MWI,Malawi,2060.7000000000003,2020-03-07,2020-03-23,2020-04-18,57.4
MYS,Malaysia,3933.125,2020-01-16,2020-03-18,2020-03-18,71.03
MYT,Mayotte,NA,NA,NA,NA,NA
NAM,Namibia,2624.3849999999998,2020-03-01,2020-03-17,2020-04-17,75.79
NCL,New Caledonia,NA,NA,NA,NA,NA
NER,Niger,2312.935,2020-03-13,2020-03-20,2020-03-28,61.51
NGA,Nigeria,4032.13,2020-01-01,2020-03-28,2020-04-23,80.97
NIC,Nicaragua,716.995,2020-02-21,NA,2020-04-15,16.67
NLD,Netherlands,3460.07,2020-03-06,2020-03-15,2020-03-31,82
NOR,Norway,3834.12,2020-01-31,2020-03-12,2020-03-24,79.63
NPL,Nepal,NA,NA,NA,NA,NA
NZL,New Zealand,4274.085,2020-02-02,2020-03-21,2020-03-26,97.35
OMN,Oman,4421.785,2020-01-20,2020-03-17,2020-04-10,94.71
PAK,Pakistan,4383.49,2020-01-31,2020-03-13,2020-03-26,97.35
PAN,Panama,3787.5899999999997,2020-01-21,2020-03-16,2020-04-18,83.6
PER,Peru,4241.975,2020-03-05,2020-03-12,2020-03-18,96.03
PHL,Philippines,5202.62,2020-01-24,2020-03-15,2020-03-18,97.22
PNG,Papua New Guinea,3777.09,2020-01-27,2020-03-24,2020-03-24,84.92
POL,Poland,3740.9049999999997,2020-01-23,2020-03-14,2020-04-09,88.09
PRT,Portugal,3410.53,2020-01-26,2020-03-19,2020-04-18,94.58
PRY,Paraguay,4615.505,2020-01-23,2020-03-13,2020-04-09,96.03
PSE,West Bank and Gaza,4713.91,2020-02-22,2020-03-05,2020-03-22,94.18
PYF,French Polynesia,NA,NA,NA,NA,NA
QAT,Qatar,3980.5299999999997,2020-01-24,2020-03-15,2020-04-18,90.74
REU,Reunion,NA,NA,NA,NA,NA
ROU,Romania,4233.07,2020-01-27,2020-03-11,2020-03-31,88.36
RUS,Russian Federation,3751.79,2020-01-30,2020-03-19,2020-03-30,92.86
RWA,Rwanda,4841.44,2020-01-21,2020-03-16,2020-03-21,100
SAU,Saudi Arabia,4298.46,2020-01-30,2020-03-15,2020-03-25,92.72
SDN,Sudan,3169.9,2020-02-11,2020-03-16,2020-04-18,84.92
SEN,Senegal,NA,NA,NA,NA,NA
SGP,Singapore,3956.285,2020-01-02,2020-04-03,2020-04-17,81.21
SLE,Sierra Leone,2369.695,2020-03-20,2020-03-31,2020-04-05,95.24
SLV,El Salvador,4730.715,2020-01-23,2020-03-16,2020-04-21,96.03
SMR,San Marino,3720.84,2020-02-23,2020-03-08,2020-04-17,86.5
SOM,Somalia,NA,NA,NA,NA,NA
SPM,Saint Pierre and Miquelon,NA,NA,NA,NA,NA
SRB,Serbia,4387.915,2020-01-22,2020-03-15,2020-03-21,100
SSD,South Sudan,3098.475,2020-02-24,2020-03-21,2020-04-16,94.71
STP,Sao Tome and Principe,NA,NA,NA,NA,NA
SUR,Suriname,NA,NA,NA,NA,NA
SVK,Slovak Republic,3951.05,2020-01-27,2020-03-12,2020-04-08,90.74
SVN,Slovenia,3722.61,2020-03-04,2020-03-16,2020-03-30,91.93
SWE,Sweden,1692.625,2020-03-09,NA,2020-04-24,47.35
SWZ,Eswatini,3127.46,2020-02-29,2020-03-17,2020-03-27,81.48
SXM,Sint Maarten (Dutch part),NA,NA,NA,NA,NA
SYC,Seychelles,3625.955,2020-01-01,2020-04-08,2020-04-09,94.58
SYR,Syrian Arab Republic,3411.245,2020-02-01,2020-03-20,2020-04-01,84.13
TCA,Turks and Caicos Islands,NA,NA,NA,NA,NA
TCD,Chad,2005.9650000000001,2020-03-07,2020-04-13,2020-04-13,88.23
TGO,Togo,NA,NA,NA,NA,NA
THA,Thailand,3231.61,2020-03-06,2020-03-18,2020-04-03,83.21
TLS,Timor-Leste,NA,NA,NA,NA,NA
TTO,Trinidad and Tobago,3642.545,2020-01-30,2020-03-17,2020-03-31,82.27
TUN,Tunisia,3208.1549999999997,2020-03-04,2020-03-18,2020-04-18,97.35
TUR,Turkey,3899.37,2020-01-24,2020-03-16,2020-03-28,80.42
TWN,Taiwan,2741.7599999999998,2020-01-02,NA,2020-03-19,32.01
TZA,Tanzania,1718.1,2020-02-01,2020-04-14,2020-04-14,50.4
UGA,Uganda,3936.7250000000004,2020-01-20,2020-03-25,2020-03-30,92.59
UKR,Ukraine,3972.88,2020-03-03,2020-03-12,2020-03-20,92.06
URY,Uruguay,3003.27,2020-03-13,2020-03-14,2020-04-02,76.98
USA,United States,3239.855,2020-02-02,2020-03-16,2020-04-08,71.58
UZB,Uzbekistan,4159.9000000000005,2020-01-21,2020-03-16,2020-03-27,92.2
VAT,Vatican,NA,NA,NA,NA,NA
VCT,St. Vincent and the Grenadines,NA,NA,NA,NA,NA
VEN,"Venezuela, RB",3745.84,2020-02-28,2020-03-13,2020-03-18,84.26
VGB,British Virgin Islands,NA,NA,NA,NA,NA
VNM,Vietnam,5025.925,2020-01-25,2020-03-26,2020-04-01,97.35
XKX,Kosovo,NA,NA,NA,NA,NA
YEM,"Yemen, Rep.",NA,NA,NA,NA,NA
ZAF,South Africa,3610.3700000000003,2020-01-23,2020-03-18,2020-03-26,91.4
ZMB,Zambia,2289.905,2020-02-21,2020-04-09,2020-04-15,62.45
ZWE,Zimbabwe,3535,2020-01-27,2020-03-23,2020-03-30,91.4
