Country.Region,b,Asym,xmid,P(b),P(Asym),Pxmid,dev,converged,iter
Afghanistan,0.041228062308521,4057.4325897502,18379.2097754174,1.86798079525618E-39,1.18624569776248E-18,5.00872237200821E-263,6010.45725985586,1,15
Albania,0.063690533847196,781.111248495704,18354.1310980846,8.45431050607451E-54,2.88956371227569E-59,4.7906095e-316,3615.40491087407,1,12
Algeria,0.074534412616618,3747.03605092963,18358.2146658245,2.18745973823419E-45,1.71787317948636E-48,3.922797341348e-311,94010.8551728486,1,11
Andorra,0.10614319347836,776.000718066881,18349.0417389177,3.83278183907963E-70,2.09270922993699E-97,0,4008.75308041533,1,12
Angola,0.106935351571682,26.2171072791965,18353.4885310081,1.18573627752839E-18,1.69679310768392E-33,3.54705273484133E-302,75.9372003893519,1,15
Antigua and Barbuda,0.107116698006139,28.2137825633775,18352.796652801,4.68966462962259E-23,2.34245115013803E-40,7.6276805643604e-310,65.9388626530187,1,14
Argentina,0.067570537333535,4249.60993017288,18358.1716520162,3.12325860175342E-52,1.12987703190598E-53,1.3347719606e-313,75472.1296490792,1,12
Armenia,0.077975070872187,1583.60222007586,18352.9131436029,1.58447301918879E-49,3.38752769423909E-61,1e-323,26468.2629987123,1,11
Australia,0.150455035787088,6761.068057328,18345.860629087,4.50092981959676E-70,3.72731266264822E-114,0,489537.187194128,1,18
Australia_Australian Capital Territory,0.222585516731567,103.207142111066,18345.2199550371,1.45292981846837E-64,6.09267964277582E-122,0,166.23361305719,1,14
Australia_New South Wales,0.156917668163257,3030.64800237433,18346.0325389912,2.18738947641849E-60,2.21972046293157E-105,0,169411.049621338,1,18
Australia_Northern Territory,0.175220925393897,29.6679445088261,18347.3707160323,2.86938342091881E-35,7.3494279056157E-80,0,68.8727178381527,1,16
Australia_Queensland,0.151158557977662,1042.39402371034,18344.7795137269,9.95937026362014E-70,2.20136766319791E-115,0,12577.9518760315,1,13
Australia_South Australia,0.188681020473763,442.660028481637,18344.9165726633,9.08883878257333E-57,4.19569561241296E-109,0,4837.95492498806,1,14
Australia_Tasmania,0.041438174641532,481.820345138415,18369.52827676,4.86300558404497E-18,8.1284261731643E-10,2.81432216659379E-240,1870.23515502404,1,12
Australia_Victoria,0.145316257104663,1372.10254801496,18346.1223890123,1.33928709369226E-59,8.76229512048772E-102,0,34961.0915220525,1,16
Australia_Western Australia,0.13831608459492,561.808751182429,18346.3192013865,4.93845952782754E-69,1.60188675612281E-109,0,3345.60907466981,1,15
Austria,0.129202499094812,15254.0982510063,18345.4221864345,4.96112483390693E-78,1.59024737706741E-117,0,1531766.86528568,1,19
Azerbaijan,0.089482041090144,2021.20357501817,18358.9522420309,5.542197394468E-46,1.37745218234976E-51,1.592e-320,27840.1496138677,1,19
Bahamas,0.093420410479671,71.9755179837661,18355.7423124892,1.23480038543659E-39,3.51616075855018E-51,9.3596e-320,84.8724661267115,1,14
Bahrain,0.007952982670775,3561556.8224033,18625.0242262325,0.0084039016879,0.749475254620262,8.57671944756078E-100,228506.817232759,0,50
Bangladesh,0.058923293991851,33878.0158266174,18387.2651379222,8.31846169407129E-21,0.000376370165442,9.03552986070515E-244,32617.7689091026,1,23
Barbados,0.113543644872521,85.085242853672,18349.9025241327,2.75600181368039E-43,3.00458339576525E-70,0,218.751619054291,1,14
Belarus,0.122698813528771,8324.84726212483,18365.2409166386,4.32393050307424E-31,4.92230521336986E-30,9.7174176130718e-310,439858.847848576,1,18
Belgium,0.067461605810899,58638.3737369841,18358.4552534283,5.96179142562912E-69,5.00266409228543E-70,0,5416879.26130268,1,20
Belize,0.091881321738918,31.6761280793036,18362.3230550159,2.04910995276687E-12,1.49236513485854E-12,1.71535656011944E-270,48.7301309938787,1,18
Benin,0.127965016456622,42.5838639104057,18354.0896393793,8.93622591809368E-20,5.1977466599246E-39,1.89738391665e-313,203.277073459105,1,21
Bhutan,0.082080950654736,6.04783570371951,18342.8266365893,1.40301887594059E-15,1.99148612695435E-34,1.63108565768006E-290,10.5084642551705,1,22
Bolivia,0.030284631999095,4786.89518796543,18397.178910087,1.02591218181992E-24,4.92723203969387E-06,1.01417522585094E-226,2628.00905932275,1,16
Bosnia and Herzegovina,0.070101151826073,1933.63279836281,18358.1388545392,1.13622911057968E-67,6.66369558988046E-70,0,6794.53236916325,1,13
Botswana,0.112174167842565,22.5184725657713,18359.4571773504,3.84932206818231E-11,3.8397389420368E-16,3.50592167351268E-282,57.4816406478619,1,12
Brazil,0.036764208838733,239149.710403061,18387.425493498,2.14245111148277E-35,2.56833211538883E-12,2.9026620963247E-250,8014986.85820659,1,32
Brunei,0.161493916065711,138.66153883914,18337.1437816984,3.10323054711103E-55,1.2947296114848E-110,0,666.720955412588,1,16
Bulgaria,0.061090665568893,1221.1782571595,18354.2203545919,2.70473887367593E-43,1.36815266782341E-47,2.54785908681417E-302,15559.2250100437,1,12
Burkina Faso,0.08209362074642,721.405198544639,18352.606013969,8.08801030275689E-55,1.82690580942895E-68,0,4421.34445387604,1,14
Burma (Myanmar),0.013576278611184,567782.786000377,18528.9120146224,0.060594823863721,0.840126505137745,3.32417557331623E-105,727.46580428086,0,50
Burundi,0.17780639490491,5.31690409266891,18354.037413694,8.13450957935376E-13,7.38726299142611E-38,6.8219873e-317,8.39363879152177,1,20
Cabo Verde,3.93107842990072,57.7771195790744,18366.1286749374,0.054721212959204,1.43021777732474E-52,0,922.62596012915,1,49
Cambodia,0.224008653603601,119.481398557757,18340.0565154106,2.91859041565039E-43,1.64747822360012E-104,0,854.682689858968,1,15
Cameroon,0.167654397338403,1043.38658684106,18354.1877895107,1.60059262920708E-29,4.18166210411501E-60,0,73047.1277899191,1,19
Canada,0.062121689685678,65600.7047538731,18363.4723967854,1.79274911632036E-55,1.18720551386588E-48,6.401827677583474e-308,6597395.13632954,1,24
Canada_Alberta,0.034103407678625,10511.3429740982,18381.1857113769,2.11014313308761E-13,9.23335471706675E-05,2.59543976802509E-218,343273.392959003,1,14
Canada_British Columbia,0.104056526487259,1709.05567573945,18346.1197628367,1.83472497723122E-57,7.46938668036308E-88,0,48747.6422749089,1,14
Canada_Grand Princess,0.41334016679928,13.06728610576,18337.2401491723,8.79778174579138E-29,3.15847510823105E-104,0,17.7905618591502,1,21
Canada_Manitoba,0.188473640576295,261.504700964626,18350.728350455,4.53406923724502E-41,6.28208940205813E-84,0,3125.09550741434,1,21
Canada_New Brunswick,0.163739171405279,122.290449347629,18347.9580822537,4.18656812394121E-42,1.47707698278745E-84,0,722.984586719785,1,18
Canada_Newfoundland and Labrador,0.200737249029169,254.341288776164,18348.1377659548,1.60180358449971E-58,8.73961775981379E-109,0,1264.4098528166,1,14
Canada_Northwest Territories,0.287126621429634,5.24549198317147,18352.7841787182,1.67358172614625E-18,6.02263773658281E-65,0,5.88532556385652,1,32
Canada_Nova Scotia,0.050671036490474,1718.68860168298,18369.7013394802,8.62091179722834E-49,8.25661999409565E-34,4.55327055987347E-287,2466.19854870544,1,14
Canada_Ontario,0.047499501135806,36691.8802354266,18374.1931086215,3.74118284080783E-33,3.20673120016616E-17,1.45624305105911E-263,1410709.33686521,1,12
Canada_Prince Edward Island,0.25386728700813,25.6873296877144,18348.0029146249,1.81545811836351E-31,4.79509702777696E-86,0,65.2815121567672,1,22
Canada_Quebec,0.08048018680919,26859.1977705772,18359.9265862809,8.10673458772629E-62,6.46060075993676E-64,0,1562644.90449435,1,16
Canada_Saskatchewan,0.13255184055286,331.894783766411,18348.4906923039,1.33729629922101E-63,2.98570978676281E-99,0,1324.15209961636,1,13
Canada_Yukon,0.185259320381036,8.41293777053455,18349.168892117,8.24110160349103E-26,2.38716882661267E-67,0,9.70727908625611,1,18
Central African Republic,0.043480409078333,28.159484160717,18365.6533675216,4.0096044037842E-07,0.000212267061682,9.53369311759171E-219,42.1962992470889,1,11
Chad,0.012204840822152,64116.9928973975,18536.5096950944,0.045198506845525,0.809496775436402,4.92025484976406E-105,88.2449105485194,0,50
Chile,0.060291087382213,18388.8026318362,18362.8428822842,8.13707723831522E-76,3.43771721746127E-69,0,183460.286522783,1,12
China,0.145014392565817,82485.7917356218,18297.8082308041,1.81373883651677E-52,4.36108040595264E-125,0,437938012.381584,1,6
China_Anhui,0.194520975468841,995.495651761452,18293.9595718817,1.18160450520239E-66,8.67237540262417E-148,0,23103.3804599289,1,9
China_Beijing,0.047569508013069,594.51848376137,18296.9321799855,4.46562464442595E-21,7.37552219740843E-60,1.17480923657415E-289,146233.385128487,1,10
China_Chongqing,0.167803351782794,579.383399260658,18291.6263912655,8.95498857484069E-87,9.20447780688574E-166,0,2946.06662577101,1,7
China_Fujian,0.135830050442559,322.276632988746,18291.82408599,6.29315801168667E-27,3.36333251275034E-96,8e-323,34254.2296459145,1,12
China_Gansu,0.057648006031559,141.362752339937,18297.2366734533,3.33136524376058E-24,4.50373765742816E-69,2.92345293622878E-297,8239.21365289716,1,7
China_Guangdong,0.155532867916064,1441.226209838,18292.7801169083,1.10304506851954E-33,3.74489152197131E-107,0,400202.056821271,1,11
China_Guangxi,0.152425966642779,254.517108534421,18292.277033054,3.66840540923467E-80,9.85887367068769E-157,0,874.337220600276,1,8
China_Guizhou,0.211297122713297,147.00785720522,18295.6452679276,3.59553851191161E-49,1.04795033546463E-130,0,1255.59393056553,1,9
China_Hainan,0.160676642002101,169.415130622307,18292.6251131083,1.96402882091574E-51,5.61030323729066E-128,0,1840.39965753207,1,9
China_Hebei,0.151027637743561,323.613171136274,18295.000981837,1.35319805945456E-60,1.70783645473943E-135,0,4172.18997652287,1,8
China_Heilongjiang,0.093734907842801,570.301762662595,18297.5285459716,1.2949609738861E-08,1.08939552649613E-51,2.35183125476592E-277,812261.570017309,1,18
China_Henan,0.192994929149069,1279.19235149979,18293.3460066372,4.61637564680003E-80,1.71162498176618E-161,0,18453.8706085658,1,8
China_Hong Kong,0.083681719135014,1227.40590356541,18345.3627393951,2.24788250833048E-19,6.20828708788525E-38,1.3496352499963E-296,257969.360332326,1,36
China_Hubei,0.157351668720722,68239.4674997149,18298.8052971754,2.10972685864676E-46,4.05574131261551E-120,0,400022190.991555,1,7
China_Hunan,0.197409805469854,1022.31255265192,18292.5794918094,3.35368573209962E-80,2.41137348494992E-162,0,11494.537641413,1,8
China_Inner Mongolia,0.002593367221081,329633.759353491,19150.1077194681,0.568573916626696,0.944616244881686,2.46184720960738E-14,29385.073376389,0,50
China_Jiangsu,0.173385237028692,643.356134975792,18293.9669985674,2.53027970162973E-66,6.84295704733851E-145,0,10802.0313716456,1,8
China_Jiangxi,0.204379905204341,940.271528751801,18293.8473289696,2.59066550578216E-71,1.08992418561358E-153,0,15300.5449760484,1,9
China_Jilin,0.211498914173471,95.5183732434123,18294.8802688841,3.73858928380293E-41,4.52661006682488E-122,0,853.612725847714,1,12
China_Liaoning,0.143152223644278,132.275807079759,18291.2867791631,2.3302321951278E-29,8.63610075519009E-101,0,4679.63606939585,1,11
China_Macau,0.004239360998596,31778.2572420146,18808.062166124,0.315027924734066,0.888369448394002,6.91719612160663E-44,2100.85963398481,0,50
China_Ningxia,0.140802822794606,75.2728191263938,18294.2677827084,1.89130031317504E-58,7.27311329534553E-132,0,268.260265753343,1,7
China_Qinghai,0.264584915235841,18.0957915210442,18290.1604096554,1.57620850415784E-35,1.44796704924672E-121,0,35.9637022568218,1,12
China_Shaanxi,0.177185571021453,250.654845387419,18292.3515355772,9.57566403070491E-68,2.56837834593482E-147,0,1493.94160929899,1,8
China_Shandong,0.105547887247834,782.617292884257,18296.1692048872,2.47600084498657E-45,3.23236110798324E-110,0,72583.5054241691,1,7
China_Shanghai,0.014399728728687,1100.50739153137,18335.2128463423,0.000464585492011,0.000791777562268,2.04044369852551E-171,257956.749669817,1,17
China_Shanxi,0.159709078911223,144.124147835637,18292.8767433235,1.18667662018209E-12,9.70160346795376E-76,2.07835109176215E-304,22078.608472258,1,12
China_Sichuan,0.138435931522819,550.278481484405,18293.2757810496,7.43063096494007E-81,6.75289939275856E-155,0,4215.42437216941,1,7
China_Tianjin,0.069996226062287,167.49667685949,18295.8210699634,1.36790735762834E-19,2.10117545758985E-68,3.54278967213658E-294,18808.7116376054,1,13
China_Tibet,36.8364781378541,1,18290.0961548879,1.10001520541383E-94,0,0,1.28504489086072E-29,1,47
China_Xinjiang,0.158347406929091,76.7979596327892,18295.5019319291,3.97382878266336E-47,4.36706723113139E-122,0,488.420769460974,1,9
China_Yunnan,0.17409101834882,178.217524506103,18290.9858856079,6.9518733336469E-54,5.82391843723034E-133,0,1656.76849095346,1,9
China_Zhejiang,0.201083943591313,1235.87138593711,18291.572975794,7.23312068723078E-62,3.17828180722813E-144,0,45351.4315454606,1,10
Colombia,0.060879301637141,7064.59463602532,18363.5946019786,8.48744470296815E-42,3.69679375973691E-35,5.33793006937347E-292,165877.176777384,1,13
Congo (Brazzaville),0.014508703126741,183563.089300042,18506.0214183976,0.117127415214812,0.842636134112131,9.02077726326024E-103,2884.14857317157,0,50
Congo (Kinshasa),0.061630066315404,520.035717220595,18360.5136350791,3.10131176963558E-33,1.35117433982394E-30,2.38513609636108E-285,2443.11971618091,1,13
Costa Rica,0.087128421773741,775.646956634468,18349.4253326232,3.03883494758267E-70,1.56640730405995E-90,0,3164.67601776523,1,11
Cote d'Ivoire,0.051940172301518,2134.87187677811,18370.1115900059,1.32559071510524E-22,1.19007770770237E-12,8.96007053127255E-256,19242.9999361093,1,16
Croatia,0.087588807826286,2244.81908937511,18351.6986783718,7.69110916015388E-73,4.88492636448957E-90,0,18511.2776836832,1,10
Cuba,0.053547346306644,2851.06066222801,18371.1690480221,5.65982136316434E-54,6.38940832649459E-37,1.28426324570046E-293,3697.13839434569,1,14
Cyprus,0.072661694969875,1112.16288253609,18356.0766786986,3.38201407805032E-49,7.57594706480193E-55,3.12835865e-316,8578.37485144789,1,17
Czechia,0.093228782532573,7810.67777570475,18350.2205699763,3.39435129180633E-76,1.53178884861644E-97,0,230547.855024914,1,13
Denmark,0.0460026696908,14589.8304838011,18361.4095420244,2.50726093891057E-29,2.19809169292319E-23,2.50590383167406E-266,1997710.01811242,1,21
Denmark_Faroe Islands,0.200586396739313,185.844047539688,18340.1606210047,1.83701311212994E-66,5.31607064686064E-126,0,569.446397697316,1,12
Denmark_Greenland,0.254009648936439,11.1392809652885,18343.4018235729,3.86937834962301E-32,6.686192407175E-92,0,13.2749552032725,1,17
Djibouti,0.030935806094654,142040.9850641,18423.528324029,0.000323682970265,0.526060531610126,8.48015254193932E-167,19238.9037579832,0,50
Dominica,0.262845742600132,15.569166757684,18345.8555888889,1.15175335686626E-23,3.20891728774204E-79,0,44.1901935757878,1,20
Dominican Republic,0.046330752229653,13345.8548885584,18372.6716696211,2.18353725910221E-34,3.08654618768016E-19,3.31824869896414E-265,233971.077803738,1,19
Ecuador,0.054894358657957,20435.7458653013,18365.9299922121,2.70950648699453E-16,1.00038659226575E-10,4.94143719564683E-251,6033018.70836013,1,11
Egypt,0.024896046043998,33384.7745748556,18405.2353337418,1.32530091040875E-37,2.20655263067475E-10,6.27892802408947E-235,43424.6184469579,1,19
El Salvador,0.066292263581012,416.390024992766,18366.4663247849,2.78761438082572E-48,2.58081227908227E-38,3.7422459942156E-300,241.060147243808,1,16
Equatorial Guinea,0.011276156095055,2542710.47775868,18578.5118495986,0.467460344686972,0.948456507842117,2.69361739430952E-61,1782.24945984518,0,50
Eritrea,0.201138627956833,37.6222001066745,18351.1932744829,1.82460333779244E-38,2.05370075508466E-82,0,75.3726432169204,1,17
Estonia,0.070875232275012,1941.12526535532,18350.607137113,5.95590027751284E-47,4.55168597162353E-59,9.52337e-318,53129.3759281404,1,13
Eswatini,0.045344430443529,36.9863087213116,18362.3697842825,7.70660288066056E-08,1.52372354472435E-05,2.96137976202563E-225,95.9682390484818,1,14
Ethiopia,0.03650302719069,452.370933290196,18380.7660781518,6.59495210695983E-35,2.4597287852506E-15,7.4588953560364E-253,102.564896517683,1,17
Fiji,0.10448169235252,20.8445904366233,18352.270293479,1.12078962420537E-16,8.12526493546488E-32,1.0157943800892E-298,64.2517325163771,1,16
Finland,0.048724699049331,7141.96288982125,18361.7042455046,1.36847844920422E-47,1.3477024410584E-40,4.6676300708461E-290,148740.719422689,1,13
France,0.039980475599862,457199.042639658,18372.5098386909,5.92728794577114E-24,2.9400295219628E-12,2.57369720094053E-246,694447657.403714,1,17
France_French Guiana,0.070515057779923,129.860411804689,18352.518496833,2.83713698436E-28,1.38918220930678E-36,1.267315610868E-293,634.890321442225,1,18
France_French Polynesia,0.110586658613742,59.2245635607997,18345.5471049853,1.24161855865506E-38,1.96503101695763E-70,0,193.395826858271,1,18
France_Guadeloupe,0.145620839182153,151.573975554681,18343.3698717757,1.40339286175374E-47,1.19627629378471E-92,0,980.587863912383,1,12
France_Martinique,0.147788567146343,167.891750722287,18345.0963435514,2.9556677112716E-40,6.68810689692555E-83,0,1718.95132717914,1,14
France_Mayotte,0.091751934119974,316.312488743264,18354.5874847531,4.04660222140131E-45,2.2921957935142E-58,0,1334.82538992248,1,13
France_New Caledonia,0.328971111526745,17.8969843583094,18343.3258860938,1.34710549984199E-40,1.31464530465539E-108,0,17.4768671542147,1,15
France_Reunion,0.160198580460797,417.516217811396,18347.6662605006,5.28240495978807E-61,1.88663535926704E-104,0,2854.81484735991,1,14
France_Saint Barthelemy,0.061581691578524,7.49403233509906,18337.9733085171,1.37801079797594E-08,3.22405327952826E-19,6.06206034739898E-261,40.1761526955533,1,16
France_Saint Pierre and Miquelon,36.6906163145427,1,18356.0916956801,0.170708166425931,0,0,7.66623601525019E-26,0,50
France_St Martin,0.103860922791401,41.895387069637,18350.1349211663,1.7224951954954E-21,3.10963752737786E-41,2.9845139588266163e-308,208.513059733348,1,16
Gabon,0.01370671629873,213055.778475069,18518.2213938085,0.014336123851628,0.766322216560955,4.71283705294222E-117,601.575822424515,0,50
Gambia,0.031386057702366,39.6391456339746,18380.9440322023,0.00079953195607,0.096167156664438,1.77376419205651E-181,38.5950738509116,1,19
Georgia,0.01828940412646,7946.02849419239,18430.8427955323,8.50518699162069E-22,0.000999092682195,1.0468326420036E-199,1678.78223423391,1,21
